Afrika	非洲
Japan	日本
Suamerika	南美洲
Norvegia	挪威
Bro-Saoz	英格兰
Bro-Skos	蘇格蘭
Kembre	威爾士
Norzhiwerzhon	北爱尔兰
Republik Iwerzhon	爱尔兰共和国
Hungaria	匈牙利
Spagn	西班牙
Stadoù-Unanet Amerika	美国
Belgia	比利时
Luksembourg (bro)	卢森堡
Hollved	宇宙
Douar (planedenn)	地球
Buhez	生命
Marv	死亡
Den	人
George Washington	乔治·华盛顿
Tim Berners-Lee	蒂姆·伯纳斯-李
Leet speak	Leet
Stanley Kubrick	斯坦利·库布里克
Finland	芬兰
Sveden	瑞典
Danmark	丹麦
Polonia	波兰
Lituania	立陶宛
Italia	意大利
Suis	瑞士
Aostria	奥地利
Gres (bro)	希腊
Turkia	土耳其
Bier	啤酒
Portugal	葡萄牙
Europa (kevandir)	欧洲
Azia	亚洲
Norzhamerika	北美洲
Antarktika	南极洲
Wikipedia	维基百科
Izelvroioù	荷兰
Kalc'h	阴茎
Lavar PHP	PHP
New York	纽约
Washington D.C.	华盛顿哥伦比亚特区
San Francisco (Kalifornia)	旧金山
Berlin	柏林
Los Angeles (Kalifornia)	洛杉矶
Urzhiataer	電子計算機
Bern	伯尔尼
Geneva	日内瓦
Zürich	苏黎世
IRC	IRC
Internet	互联网
Barack Obama	贝拉克·奥巴马
Uruguay	乌拉圭
Basel	巴塞尔
Moullerez	打印机
Londrez	伦敦
Kaero	开罗
Aleksandria	亚历山大港
Alexandria (Virginia)	亚历山德里亚 (弗吉尼亚州)
Aval	苹果
Pariz	巴黎
Abraham Lincoln	亚伯拉罕·林肯
Google	Google
Mec'hiko	墨西哥
Meurvor Atlantel	大西洋
Meurvor Habask	太平洋
Kalifornia	加利福尼亚州
Boston	波士顿
Lun (deiz)	星期一
Egor	空间 (物理)
Genver	1月
C'hwevrer	2月
Meurzh (miz)	3月
Meurzh (planedenn)	火星
Meurzh (doue)	玛尔斯
Kenya	肯尼亚
Etiopia	埃塞俄比亚
Ghana	加纳
Ebrel	4月
Mae	5月
Mezheven	6月
Gouere	7月
Eost	8月
Gwengolo	9月
Here	10月
Du	11月
Kerzu	12月
Meurzh (deiz)	星期二
Merc'her (deiz)	星期三
Yaou (deiz)	星期四
Gwener (deiz)	星期五
Sadorn (deiz)	星期六
Sul (deiz)	星期日
Leon (loen)	狮
Bro-C'hall	法国
Esperanteg	世界语
Ki	犬
Rouantelezh-Unanet	英国
Kazh	猫
Republik Pobl Sina	中华人民共和国
Galleg	法语
Wikeriadur	维基词典
Pesk	鱼
Etanol	乙醇
Brazil	巴西
Alkool	醇
François Hollande	弗朗索瓦·奥朗德
Rusia	俄罗斯
Morvil	鯨目
Yorkshire	約克郡
Karrez	正方形
Mor	海
Mor Du	黑海
Pi (lizherenn)	Π
