আফ্রিকা	非洲
জাপান	日本
দক্ষিণ আমেরিকা	南美洲
নরওয়ে	挪威
ইংল্যান্ড	英格兰
স্কটল্যান্ড	蘇格蘭
ওয়েল্‌স্‌	威爾士
উত্তর আয়ারল্যান্ড	北爱尔兰
প্রজাতন্ত্রী আয়ারল্যান্ড	爱尔兰共和国
হাঙ্গেরি	匈牙利
স্পেন	西班牙
মার্কিন যুক্তরাষ্ট্র	美国
বেলজিয়াম	比利时
লুক্সেমবুর্গ	卢森堡
মহাবিশ্ব	宇宙
পৃথিবী	地球
জীবন	生命
মৃত্যু	死亡
মানুষ	人
সুখ	快樂
জর্জ ওয়াশিংটন	乔治·华盛顿
টিম বার্নার্স-লি	蒂姆·伯纳斯-李
ইম্যাজিন (জন লেননের গান)	Imagine (歌曲)
স্ট্যানলি কুবরিক	斯坦利·库布里克
মায়া পঞ্জিকা	瑪雅曆
উইকিউপাত্ত	维基数据
ফিনল্যান্ড	芬兰
সুইডেন	瑞典
ডেনমার্ক	丹麦
পোল্যান্ড	波兰
লিথুয়ানিয়া	立陶宛
ইতালি	意大利
সুইজারল্যান্ড	瑞士
অস্ট্রিয়া	奥地利
গ্রিস	希腊
তুরস্ক	土耳其
বিয়ার	啤酒
পর্তুগাল	葡萄牙
ইউরোপ	欧洲
এশিয়া	亚洲
উত্তর আমেরিকা	北美洲
অ্যান্টার্কটিকা	南极洲
উইকিপিডিয়া	维基百科
নেদারল্যান্ডস	荷兰
শিশ্ন	阴茎
পিএইচপি	PHP
নিউ ইয়র্ক সিটি	纽约
ওয়াশিংটন, ডি.সি.	华盛顿哥伦比亚特区
সান ফ্রান্সিস্কো	旧金山
বার্লিন	柏林
লস অ্যাঞ্জেলেস	洛杉矶
বোয়িং	波音
এয়ারবাস	空中客车
কম্পিউটার	電子計算機
বের্ন	伯尔尼
জেনেভা	日内瓦
জুরিখ	苏黎世
ইন্টারনেট রিলে চ্যাট	IRC
ইন্টারনেট	互联网
বারাক ওবামা	贝拉克·奥巴马
উরুগুয়ে	乌拉圭
বাজেল	巴塞尔
প্রিন্টার	打印机
মিডিয়াউইকি	MediaWiki
লন্ডন	伦敦
কায়রো	开罗
আলেকজান্দ্রিয়া	亚历山大港
অ্যালেক্সান্ড্রিয়া, ভার্জিনিয়া	亚历山德里亚 (弗吉尼亚州)
প্যারিস	巴黎
আব্রাহাম লিংকন	亚伯拉罕·林肯
এনড্রয়েড	Android
গুগল (কোম্পানি)	Google
মেক্সিকো	墨西哥
আটলান্টিক মহাসাগর	大西洋
প্রশান্ত মহাসাগর	太平洋
ক্যালিফোর্নিয়া	加利福尼亚州
বস্টন	波士顿
সোমবার	星期一
স্থান (পদার্থ বিজ্ঞান)	空间 (物理)
জানুয়ারি	1月
ফেব্রুয়ারি	2月
মার্চ	3月
মঙ্গল (গ্রহ)	火星
মার্স	玛尔斯
কেনিয়া	肯尼亚
ইথিওপিয়া	埃塞俄比亚
ঘানা	加纳
এপ্রিল	4月
মে	5月
জুন	6月
জুলাই	7月
আগস্ট	8月
সেপ্টেম্বর	9月
অক্টোবর	10月
নভেম্বর	11月
ডিসেম্বর	12月
মঙ্গলবার	星期二
বুধবার	星期三
বৃহস্পতিবার	星期四
শুক্রবার	星期五
শনিবার	星期六
রবিবার	星期日
রাজা (দাবা)	王 (國際象棋)
সিংহ	狮
ফ্রান্স	法国
কুকুর	犬
যুক্তরাজ্য	英国
বিড়াল	猫
গণচীন	中华人民共和国
ফরাসি ভাষা	法语
উইকিঅভিধান	维基词典
মাছ	鱼
ইথানল	乙醇
ব্রাজিল	巴西
অ্যালকোহল	醇
ফ্রাঁসোয়া ওলাঁদ	弗朗索瓦·奥朗德
রাশিয়া	俄罗斯
তিমি	鯨目
অপটিক্যাল ফাইবার	光導纖維
বর্গক্ষেত্র	正方形
সাগর	海
কৃষ্ণ সাগর	黑海
পাই	圓周率
উইকি	Wiki
টরোন্টো	多伦多
আলাবামা	亚拉巴马州
সাও পাওলো	聖保羅 (巴西)
কুইবেক	魁北克
পিৎজা	比萨饼
উইকিমিডিয়া ফাউন্ডেশন	维基媒体基金会
জিমি ওয়েলস	吉米·威爾斯
জার্মানি	德国
বেলারুশ	白俄罗斯
ইল কান্তো দেলি ইতালিয়ানী	意大利人之歌
জার্মান ভাষা	德语
আইসল্যান্ড	冰岛
ঈশ্বর	神 (一神教)
