ᑭᐦᒋ ᒨᐦᑯᒫᓇᐢᑭᕀ	美国
ᐃᑕᓖ	意大利
ᑐᕒᑭ	土耳其
Atimw	犬
ᐱᔥᑎᑯᔮᐤ ᐊᔨᒧᐎᓐ	法语
ᓇᒣᔅ	鱼
ᑯᐯᒃ	魁北克
ᓃᐲᔾ	水
Wikipedia:Archives/ᐲᔖᑲᓐ	皮革
Star Wars	星際大戰
ᒌᔑᑳᐅᐲᓯᒽ	太阳
ᐱᓯᐢᑭᐤ	动物
ᐅᐲᑭᒋᑳᓇ	植物
Wikipedia:Archives/ᑳᔭᒦᒪᑲᐦᒡ	无线电
ᑭᑲᓯᑲᒋ ᑌᐊᐁᓭᐊᕃ	尤利烏斯·凱撒
Itasinâsowin	颜色
Estakok miroskamin	春季
Nipin	夏季
Takwakin	秋季
Wikipedia:Archives/ᐅᒑᐹᓂᔥ	汽车
ᐧᐁᒥᔥᑎᑯᔒᐤ ᐊᔨᒧᐧᐃᓐ	英语
ᐅᓐᑌᕇᐤ	安大略
ᒪᓂᑐᐸ	曼尼托巴
Category:Template	Category:維基百科模板
Wikipedia:Archives/ᐅᓴᔅᑯ	奥萨斯库
ᑯᓐᕗᓯ	孔子
ᓃᔥᑕᒻᐹᔅᑌᒋᓂᑲᓐ	Wikipedia:首页
Category:Candidates for speedy deletion	Category:快速删除候选
ᐲᐧᓭᐋᐃᐦᑯᓈᐤ	麵包
Wikipedia:Archives/ᒎᒎᔑᓈᐴ	乳
ᐧᐊᔒ	山
ᑕᐧᔐᔫᓂᑯᒑᔥ	鼯鼠
ᒥᔥᑎᒄ	树
Wikipedia:Archives/ᑳᒋᐦᑳᔥᑌᐦᑎᐦᒡ	电影
Template:Link FA	Template:Link FA
ᑳᐅᔅᑎᐦᑖᑯᓂᒋᐸᐦᑖᑦ	雪上摩托車
ᒪᐦᐃᐦᑲᓐ	狼
Wikipedia:Archives/ᐯᔭᑯᔥᑌᐤ	9
Wikipedia:Archives/ᒪᔅᒋᓯᓐ	鞋
Wikipedia:Archives/ᓃᐧᔖᔥᒡ	7
Wikipedia:Archives/ᓂᔮᓈᓀᐤ	8
ᐫᑦᕂᓇ	恩特雷纳
Wikipedia:Archives/Sálená	莎麗娜
Wikipedia:Archives/ᓕᓚ ᕤᐒᓄᔅ	利拉·唐斯
Kâ-isiwepahki	季节
ᐁᐧᐦᐁᐧᐤ	雪雁
ᒋᔮᐢᐠ	鷗
ᐧᑳᐦᐧᑳᐱᔒᔥ	鱗翅目
ᐄᔅᒌᒣᐧᐊᑎᒻ	加拿大愛斯基摩犬
ᓂᒋᒄ	歐亞水獺
ᐃᔨᔨᐤ ᐊᔨᒧᐎᓐ'	克里语
Wikipedia:Archives/ᒥᑎᐦᒌ	手
ᐊᓂᔑᓈᐯᒧᐎᓐ	奥杰布瓦语
Mos	駝鹿
ᐅᓵᐅᔅᒄ	棕熊
Wikipedia:Archives/ᐃᔥᐧᑳᐦᑌᒻ	門 (建築部件)
