આફ્રિકા	非洲
જાપાન	日本
દક્ષિણ અમેરિકા	南美洲
નોર્વે	挪威
વેલ્સ	威爾士
નોર્ધન આયર્લેન્ડ	北爱尔兰
હંગેરી	匈牙利
સ્પેન	西班牙
સંયુક્ત રાજ્ય અમેરિકા	美国
બેલ્જિયમ	比利时
લક્ઝેમ્બર્ગ	卢森堡
બ્રહ્માંડ	宇宙
પૃથ્વી	地球
મનુષ્ય	人
ફીનલેંડ	芬兰
સ્વિડન	瑞典
પોલેંડ	波兰
લિથુઆનિયા	立陶宛
ઈટલી	意大利
સ્વિત્ઝરલેન્ડ	瑞士
ઑસ્ટ્રિયા	奥地利
ગ્રીસ	希腊
તુર્કસ્તાન	土耳其
પોર્ટુગલ	葡萄牙
યુરોપ	欧洲
એશિયા	亚洲
ઉત્તર અમેરિકા	北美洲
ઍન્ટાર્કટિકા	南极洲
વિકિપીડિયા	维基百科
નેધરલેંડ	荷兰
PHP (પ્રોગ્રામિંગ ભાષા)	PHP
એર બસ	空中客车
સંગણક	電子計算機
ઇન્ટરનેટ	互联网
ઉરુગ્વે	乌拉圭
કમ્પ્યુટર પ્રિન્ટર	打印机
લંડન	伦敦
એલેક્ઝાન્ડ્રિયા	亚历山大港
સફરજન	苹果
પૅરિસ	巴黎
ગૂગલ	Google
મેક્સિકો	墨西哥
સોમવાર	星期一
જાન્યુઆરી	1月
ફેબ્રુઆરી	2月
માર્ચ	3月
મંગળ (ગ્રહ)	火星
કેન્યા	肯尼亚
ઇથિયોપિયા	埃塞俄比亚
ઘાના	加纳
એપ્રિલ	4月
મે	5月
જૂન	6月
જુલાઇ	7月
ઓગસ્ટ	8月
સપ્ટેમ્બર	9月
ઓક્ટોબર	10月
નવેમ્બર	11月
ડિસેમ્બર	12月
મંગળવાર	星期二
બુધવાર	星期三
ગુરુવાર	星期四
શુક્રવાર	星期五
શનિવાર	星期六
રવિવાર	星期日
એશિયાઇ સિંહ	狮
ફ્રાન્સ	法国
યુનાઇટેડ કિંગડમ	英国
ચીન	中华人民共和国
માછલી	鱼
ઇથેનોલ	乙醇
મદ્યાર્ક યુક્ત પીણું	酒
બ્રાઝિલ	巴西
રશિયા	俄罗斯
કાળો સમુદ્ર	黑海
અલાબામા	亚拉巴马州
ક્વિબેક	魁北克
વિકિમીડિયા ફાઉન્ડેશન	维基媒体基金会
જીમ્મી વેલ્સ	吉米·威爾斯
જર્મની	德国
બેલારુસ	白俄罗斯
જર્મન ભાષા	德语
આઈસલેંડ	冰岛
ઈશ્વર	神 (一神教)
ઈસ્ટોનિયા	爱沙尼亚
શનિ (ગ્રહ)	土星
ચેરી	樱
૧	1
૦ (શૂન્ય)	0
લાટવિયા	拉脫維亞
યુક્રેન	乌克兰
સ્લોવાકિયા	斯洛伐克
સ્લોવેનિયા	斯洛文尼亚
મોલ્દોવા	摩尔多瓦
રોમાનિયા	羅馬尼亞
બલ્ગેરિયા	保加利亚
મેસેડોનિયા	馬其頓共和國
આલ્બેનિયા	阿尔巴尼亚
ક્રોએશિયા	克罗地亚
અઝેરબીજાન	阿塞拜疆
સાયપ્રસ	賽普勒斯
જ્યોર્જીયા (દેશ)	格鲁吉亚
કઝાકિસ્તાન	哈萨克斯坦
માલ્ટા	马耳他
મોનૅકો	摩纳哥
મોન્ટેનીગ્રો	蒙特內哥羅
સાન મૅરિનો	圣马力诺
ઍફીલ ટાવર	艾菲爾鐵塔
ઇન્ટેલ કોર્પોરેશન	英特尔
કોમ્પ્યુટર કીબોર્ડ	电脑键盘
જાવા (પ્રોગ્રામિંગ ભાષા)	Java
ઈંડોનેશિયા	印度尼西亚
મોઝાર્ટ	沃尔夫冈·阿马德乌斯·莫扎特
દક્ષિણ આફ્રિકા	南非
વિકિસ્રોત	维基文库
ઉઝબેકિસ્તાન	乌兹别克斯坦
પાણી	水
ચીલી	智利
ઇસુ	耶稣
ગૅલિલિયો ગૅલિલિ	伽利略·伽利莱
બુધ (ગ્રહ)	水星
ઇતિહાસ	历史
શુક્ર (ગ્રહ)	金星
ભાષા	語言
પ્રેમ	愛
આકાશગંગા	星系
ગુરુ (ગ્રહ)	木星
યુરેનસ (ગ્રહ)	天王星
નૅપ્ચ્યુન (ગ્રહ)	海王星
ખગોળશાસ્ત્ર	天文學
સિંગાપુર	新加坡
વિજ્ઞાન	科学
પ્લૂટો	冥王星
ફ્રી સૉફ્ટવૅર	自由软件
લીચેસ્ટેઈન	列支敦斯登
રમત-ગમત	体育运动
ફેસબુક	Facebook
જુલિયન અસાંજે	朱利安·阿桑奇
બીજું વિશ્વ યુદ્ધ	第二次世界大战
ભ્રષ્ટાચાર	贪污
વોડકા	伏特加
ઉબુન્ટુ (ઓપરેટિંગ સિસ્ટમ)	Ubuntu
ગણિત	数学
બહેરીન	巴林
આર્મેનિયા	亞美尼亞
ચંદ્ર	月球
ઑસ્ટ્રેલિયા	澳大利亚
ભૌતિકશાસ્ત્ર	物理学
આર્જેન્ટીના	阿根廷
પેરુ (દેશ)	秘鲁
જીવવિજ્ઞાન	生物学
અજાણી ઊડતી વસ્તુ	不明飞行物
ઉત્તર કોરિયા	朝鲜民主主义人民共和国
કમ્બોડીયા	柬埔寨
કુરાન	古兰经
ડાયનાસોર	恐龙
પ્રાણીશાસ્ત્ર	动物学
ઇસ્લામ	伊斯兰教
વર્લ્ડ વાઈડ વેબ	万维网
સ્ત્રી	女性
કોમ્પ્યુટર વાયરસ	计算机病毒
હિરોશિમા અને નાગાસાકી પરનો અણુ હુમલો	廣島與長崎原子彈爆炸
મિલાન	米蘭
લીંબુ	柠檬
કેળાં	香蕉
ફૂલ	花
માઉન્ટ એવરેસ્ટ	珠穆朗瑪峰
શહેર	城市
નેપોલિયન બોનાપાર્ટ	拿破仑一世
સૂર્ય	太阳
લૂઈ પાશ્ચર	路易·巴斯德
પ્રકાશવર્ષ	光年
ગામ	村
સૂર્યમંડળ	太阳系
ચેમ્પ્સ-એલીસીસ (પેરિસ)	香榭丽舍大街
ઉદકજન	氢
હીલિયમ	氦
નર્ક	地獄
