Աֆրիկա	非洲
Ճապոնիա	日本
Հարավային Ամերիկա	南美洲
Նորվեգիա	挪威
Անգլիա	英格兰
Շոտլանդիա	蘇格蘭
Ուելս	威爾士
Հյուսիսային Իռլանդիա	北爱尔兰
Իռլանդիա	爱尔兰共和国
Հունգարիա	匈牙利
Իսպանիա	西班牙
Ամերիկայի Միացյալ Նահանգներ	美国
Բելգիա	比利时
Լյուքսեմբուրգ	卢森堡
Տիեզերք	宇宙
Երկիր	地球
Կյանք	生命
Մահ	死亡
Մարդ բանական	人
Երջանկություն	快樂
Ջորջ Վաշինգտոն	乔治·华盛顿
Դուգլաս Ադամս	道格拉斯·亚当斯
Imagine (երգ)	Imagine (歌曲)
Սթենլի Կուբրիկ	斯坦利·库布里克
Վիքիշտեմարան	维基数据
Ֆինլանդիա	芬兰
Շվեդիա	瑞典
Դանիա	丹麦
Լեհաստան	波兰
Լիտվա	立陶宛
Իտալիա	意大利
Շվեյցարիա	瑞士
Ավստրիա	奥地利
Հունաստան	希腊
Թուրքիա	土耳其
Գարեջուր	啤酒
Պորտուգալիա	葡萄牙
Եվրոպա	欧洲
Ասիա	亚洲
Հյուսիսային Ամերիկա	北美洲
Անտարկտիդա	南极洲
Վիքիպեդիա	维基百科
Նիդեռլանդներ	荷兰
PHP	PHP
Նյու Յորք	纽约
Վաշինգտոն ԿՇ	华盛顿哥伦比亚特区
Սան Ֆրանցիսկո	旧金山
Բեռլին	柏林
Լոս Անջելես	洛杉矶
Բոինգ	波音
Airbus	空中客车
Համակարգիչ	電子計算機
Բեռն	伯尔尼
Ժնև	日内瓦
Ցյուրիխ	苏黎世
Համացանց	互联网
Բարաք Օբամա	贝拉克·奥巴马
Ուրուգվայ	乌拉圭
Բազել	巴塞尔
Տպիչ	打印机
ՄեդիաՎիքի	MediaWiki
Լոնդոն	伦敦
Կահիրե	开罗
Ալեքսանդրիա	亚历山大港
Ալեքսանդրիա (Վիրջինիա)	亚历山德里亚 (弗吉尼亚州)
Խնձոր	苹果
Փարիզ	巴黎
Աբրահամ Լինքոլն	亚伯拉罕·林肯
Անդրոիդ	Android
Մեքսիկա	墨西哥
Ատլանտյան օվկիանոս	大西洋
Խաղաղ օվկիանոս	太平洋
Կալիֆորնիա	加利福尼亚州
Բոստոն	波士顿
Երկուշաբթի	星期一
Տարածություն	空间 (物理)
Հունվար	1月
Փետրվար	2月
Մարտ	3月
Մարս (մոլորակ)	火星
Քենիա	肯尼亚
Եթովպիա	埃塞俄比亚
Գանա	加纳
Ապրիլ	4月
Մայիս	5月
Հունիս	6月
Հուլիս	7月
Օգոստոս	8月
Սեպտեմբեր	9月
Հոկտեմբեր	10月
Նոյեմբեր	11月
Դեկտեմբեր	12月
Երեքշաբթի	星期二
Չորեքշաբթի	星期三
Հինգշաբթի	星期四
Ուրբաթ	星期五
Շաբաթ (օր)	星期六
Կիրակի	星期日
Փիղ (շախմատ)	象 (國際象棋)
Զինվոր (շախմատ)	兵 (國際象棋)
Ձի (շախմատ)	馬 (國際象棋)
Նավակ (շախմատ)	車 (國際象棋)
Արքա (շախմատ)	王 (國際象棋)
Թագուհի (շախմատ)	后 (國際象棋)
Առյուծ	狮
Ֆրանսիա	法国
Էսպերանտո	世界语
Շուն	犬
Միացյալ Թագավորություն	英国
Կատուներ	猫
Չինաստանի Ժողովրդական Հանրապետություն	中华人民共和国
Ֆրանսերեն	法语
Վիքիբառարան	维基词典
Ձկներ	鱼
Էթիլ սպիրտ	乙醇
Բրազիլիա	巴西
Սպիրտ	醇
Ֆրանսուա Օլանդ	弗朗索瓦·奥朗德
Ռուսաստան	俄罗斯
Կետանմաններ	鯨目
Մանրաթելեր	纤维
Օպտիկամանրաթելային մալուխ	光導纖維
Քառակուսի	正方形
Ծով	海
Սև ծով	黑海
Պի թիվ	圓周率
Պի (տառ)	Π
Վիքի	Wiki
Տորոնտո	多伦多
Ալաբամա (նահանգ)	亚拉巴马州
Սան Պաուլո	聖保羅 (巴西)
Սան Պաուլու (նահանգ)	圣保罗州
Քվեբեկ	魁北克
Պիցցա	比萨饼
Մակարոնեղեն	意式麵食
Բոինգ 747	波音747
Վիքիմեդիա Հիմնադրամ	维基媒体基金会
Ջիմմի Ուելս	吉米·威爾斯
Գերմանիա	德国
Բելառուս	白俄罗斯
Լարի Սանգեր	拉里·桑格
Իտալիայի օրհներգ	意大利人之歌
Գերմաներեն	德语
Իսլանդիա	冰岛
Աստված	神 (一神教)
Էստոնիա	爱沙尼亚
Դևիդ Քեմերոն	戴维·卡梅伦
Սատուրն (մոլորակ)	土星
Սատուրնի օղակներ	土星環
Շոկոլադ	巧克力
Ինքնաթիռ	固定翼飛機
Պատերազմ	战争
1 (թիվ)	1
2 (թիվ)	2
3 (թիվ)	3
Չորս	4
Հինգ	5
Անսահմանություն	无穷
Ջորջ Ու. Բուշ	乔治·沃克·布什
Ուղղանկյուն	矩形
Ուղիղ անկյուն	直角
Լատվիա	拉脫維亞
Ուկրաինա	乌克兰
Չեխիա	捷克
Սլովակիա	斯洛伐克
Սլովենիա	斯洛文尼亚
Վիլնյուս	维尔纽斯
Մոլդովա	摩尔多瓦
Ռումինիա	羅馬尼亞
Բուլղարիա	保加利亚
Հռոմ	罗马
Մակեդոնիա	馬其頓共和國
Ալբանիա	阿尔巴尼亚
Գրենլանդիա	格陵兰
Խորվաթիա	克罗地亚
Բոսնիա և Հերցեգովինա	波斯尼亚和黑塞哥维那
Նուուկ	努克
Ադրբեջանական Հանրապետություն	阿塞拜疆
Անդորրա	安道尔
Կիպրոս	賽普勒斯
Վրաստան	格鲁吉亚
Վալոնիա	瓦隆大区
Ղազախստան	哈萨克斯坦
Մալթա	马耳他
Ֆլանդրիա (պատմական մարզ)	法兰德斯
Մոնակո	摩纳哥
Չեռնոգորիա	蒙特內哥羅
Վատիկան	梵蒂冈
Սան Մարինո	圣马力诺
Բրյուսել	布鲁塞尔
Բրյուսելի մայրաքաղաքային տարածաշրջան	布鲁塞尔-首都大区
Կուբա	古巴
Բելիզ	伯利兹
Էյֆելյան աշտարակ	艾菲爾鐵塔
Բարբադոս	巴巴多斯
Volkswagen	大众汽车
Ինտել	英特尔
Ջավա (ծրագրավորման լեզու)	Java
Ինդոնեզիա	印度尼西亚
Վոլֆգանգ Ամադեուս Մոցարտ	沃尔夫冈·阿马德乌斯·莫扎特
Լյուդվիգ վան Բեթհովեն	路德维希·范·贝多芬
Թուրքերեն	土耳其语
Հարավաֆրիկյան Հանրապետություն	南非
Ժան Ֆրանսուա Շամպոլյոն	让-弗朗索瓦·商博良
Linkin Park	聯合公園
Ալժիր	阿尔及利亚
Վիքիդարան	维基文库
Ուզբեկստան	乌兹别克斯坦
Տաշքենդ	塔什干
Վարշավա	华沙
Եվրատեսիլ երգի մրցույթ	歐洲歌唱大賽
