frikytu'a	非洲
pongu'e	日本
ketytu'a	南美洲
noreg	挪威
airland	爱尔兰共和国
madjiar	匈牙利
sangu'e	西班牙
mergu'e	美国
beldjym	比利时
lEtsyburg	卢森堡
terdi	地球
remna	人
gugdrsu,omi	芬兰
sueriges	瑞典
danmark	丹麦
polskas	波兰
lietuvas	立陶宛
italias	意大利
elvetias	瑞士
ysteraic	奥地利
xesygu'e	希腊
turk	土耳其
birje	啤酒
potygu'e	葡萄牙
rontu'a	欧洲
zdotu'a	亚洲
bemtu'a	北美洲
ziptu'a	南极洲
uikipidias	维基百科
nederland	荷兰
pinji	阴茎
niu,IORK. zei tcadu	纽约
.uacintyn. zei tcadu	华盛顿哥伦比亚特区
berlin	柏林
skami	電子計算機
tcadrjenevu	日内瓦
byRAK.obamas	贝拉克·奥巴马
uruguais	乌拉圭
london	伦敦
plise	苹果
paris	巴黎
mexygu'e	墨西哥
atlantik. zei braxamsi	大西洋
pasifik. zei braxamsi	太平洋
kalifornias	加利福尼亚州
pavma'i	1月
relma'i	2月
mars	火星
kenias	肯尼亚
itiopias	埃塞俄比亚
cinfo	狮
fasygu'e	法国
esperantos	世界语
gerku	犬
ritygu'e	英国
mlatu	猫
jugygu'e	中华人民共和国
fasybau	法语
finpe	鱼
razgu'e	巴西
rukygu'e	俄罗斯
xamsi	海
xekri xamsi	黑海
alybamas	亚拉巴马州
sankt. paulos	聖保羅 (巴西)
dotygu'e	德国
belrus	白俄罗斯
dotybau	德语
island	冰岛
estis	爱沙尼亚
saturn	土星
ci'i	无穷
djordj. ualker. buc	乔治·沃克·布什
vurgu'e	乌克兰
tcesk.zei gubyseltru	捷克
slovensk	斯洛伐克
slovEni,as	斯洛文尼亚
moldovas	摩尔多瓦
romanias	羅馬尼亞
bylgAri,as	保加利亚
romas	罗马
xrvatskas	克罗地亚
andoras	安道尔
kazaksTAN	哈萨克斯坦
maltas	马耳他
brusel.	布鲁塞尔-首都大区
kubas	古巴
beliz	伯利兹
bidgu'e	印度尼西亚
vulfygan.amade,us.motsart	沃尔夫冈·阿马德乌斯·莫扎特
ludvix.fan.beitoven	路德维希·范·贝多芬
nanfi'ogu'e	南非
jexygu'e	阿尔及利亚
djacu	水
tciles	智利
iesus	耶稣
galileos.galileis	伽利略·伽利莱
merkurios	水星
citri	历史
venus	金星
bangu	語言
barda tarci bo girzu	星系
iupiter	木星
uranos	天王星
neptun	海王星
kesyske	天文學
singapura	新加坡
saske	科学
mu'eske	宇宙学
pluton	冥王星
lictenctain	列支敦斯登
.adolf. .itlyr.	阿道夫·希特勒
remoi ke terdi nunjamna	第二次世界大战
ubuntus	Ubuntu
linuks	Linux
cmaci	数学
U2	U2樂團
xigzo	希格斯玻色子
serbias	塞尔维亚
lunra	月球
sralygu'e	澳大利亚
termu'eske	物理学
getygu'e	阿根廷
perus	秘鲁
mivyske	生物学
berti zei .dcosyn	朝鲜民主主义人民共和国
danlu kamjikyzi'e	動物權利
dalske	动物学
musyjda	伊斯兰教
spaske	植物学
lex.wauensas.	莱赫·瓦文萨
lion	里昂
ropno gunma	欧洲联盟
ninmu	女性
pemci	诗歌
badna	香蕉
napoleon	拿破仑一世
tarci	恒星
solri	太阳
lu'is. pastyr.	路易·巴斯德
viktor.ugos	维克多·雨果
poltu'a	大洋洲
solri ciste	太阳系
baltik. xamsi	波罗的海
cidro	氢
solnavni	氦
roksodna	锂
jinmrberilo	铍
djedi	日
nicte	晚上
nanca	年
ctona'a	世纪
tcadrkatovitse	卡托维兹
jicmrboro	硼
.nikolaus.kopernikus	尼古拉·哥白尼
tabno	碳
trano	氮
kijno	氧
plini	行星
zgike	音乐
lil.	里尔
moskovas	莫斯科
li'orkliru	氟
ninynavni	氖
sankt. peterburg	圣彼得堡
tcad	乍得
sodna	钠
lidgusyjinme	镁
jinmrmalume	铝
zis. poi cnino	新西兰
xingu'e	印度
cancmu	硅
fasysodna	钫
sackycmu	磷
tirse	铁
sliri	硫
kliru	氯
.uiliam. cekspir.	威廉·莎士比亚
laznynavni	氩
sodnrkali	钾
bogjinme	钙
cnisa	铅
mongolo	蒙古国
jinmrskandi	钪
jinmrtitani	钛
benesuel	委內瑞拉
caxmati	國際象棋
tcingis. xan	成吉思汗
jinmrvanadi	钒
rogjinme	铬
xirma	马
danlu	动物
surinam	蘇利南
jinmrmanga	锰
paraguais	巴拉圭
gudjanas	圭亚那
larcu	艺术
ekuador	厄瓜多尔
jinmlreni	铼
kolombias	哥伦比亚
ridjinme	钴
jarjinme	钨
nikle	镍
bu'ojda	佛教
bolivias	玻利維亞
jinmrbosmi	锇
tunka	铜
spati	植物
zinki	锌
leonardos.davintcis	列奥纳多·达·芬奇
djamaikas	牙买加
guatemal	危地马拉
onduras	洪都拉斯
artik.zei braxamsi	北冰洋
salbador	萨尔瓦多
iran	伊朗
raksygu'e	伊拉克
kostarikas	哥斯达黎加
brogu'e	以色列
nowy.sontc	新松奇
panamas	巴拿马
jorgu'e	约旦
nikaraguas	尼加拉瓜
ku,uait	科威特
luaos	老挝
lu'orgu'e	黎巴嫩
oregon	俄勒冈州
mejgu'e	马来西亚
nepal	尼泊尔
kisygu'e	巴基斯坦
djogu'e	沙特阿拉伯
stalin.	斯大林
sixygu'e	叙利亚
platon	柏拉图
fasyjinme	镓
dotyjinme	锗
aristoteles	亚里士多德
tais	泰国
arseniko	砷
lurcmu	硒
jinmrdiridi	铱
xunkliru	溴
jinmrplati	铂
vietnam	越南
novosibirsk	新西伯利亚
snanu zei .xanguk	大韩民国
mipnavni	氪
afyganisTAN	阿富汗
jyryrys. tolkien	J·R·R·托尔金
xunsodna	铷
solji	金
begygu'e	孟加拉国
xorxes.luis.borxes	豪尔赫·路易斯·博尔赫斯
sokrates	苏格拉底
angol	安哥拉
tanzanias	坦桑尼亚
margu	汞
pilipinas	菲律宾
