Afrika	非洲
Ġappun	日本
Norveġja	挪威
Ingilterra	英格兰
Skozja	蘇格蘭
Irlanda ta' Fuq	北爱尔兰
Repubblika tal-Irlanda	爱尔兰共和国
Ungerija	匈牙利
Spanja	西班牙
Stati Uniti	美国
Belġju	比利时
Lussemburgu	卢森堡
Art	地球
Mewt	死亡
Bniedem	人
Tim Berners-Lee	蒂姆·伯纳斯-李
Finlandja	芬兰
Żvezja	瑞典
Danimarka	丹麦
Polonja	波兰
Litwanja	立陶宛
Italja	意大利
Żvizzera	瑞士
Awstrija	奥地利
Greċja	希腊
Turkija	土耳其
Portugall	葡萄牙
Ewropa	欧洲
Asja	亚洲
Wikipedija	维基百科
Pajjiżi l-Baxxi	荷兰
Berlin	柏林
Kompjuter	電子計算機
Barack Obama	贝拉克·奥巴马
Urugwaj	乌拉圭
Londra	伦敦
Messiku	墨西哥
Oċean Atlantiku	大西洋
Oċean Paċifiku	太平洋
Jannar	1月
Frar	2月
Marzu	3月
Marte (pjaneta)	火星
Kenja	肯尼亚
Etjopja	埃塞俄比亚
Gana	加纳
April	4月
Mejju	5月
Ġunju	6月
Lulju	7月
Awwissu	8月
Settembru	9月
Ottubru	10月
Novembru	11月
Diċembru	12月
Iljun	狮
Franza	法国
Kelb	犬
Renju Unit	英国
Qattus	猫
Ċina	中华人民共和国
Wikizzjunarju	维基词典
Brażil	巴西
François Hollande	弗朗索瓦·奥朗德
Russja	俄罗斯
Wiki	Wiki
Fondazzjoni Wikimedia	维基媒体基金会
Jimmy Wales	吉米·威爾斯
Ġermanja	德国
Bjelorussja	白俄罗斯
Il Canto degli italiani	意大利人之歌
Iżlanda	冰岛
Estonja	爱沙尼亚
Saturnu (pjaneta)	土星
Latvja	拉脫維亞
Ukraina	乌克兰
Ċekja	捷克
Slovakkja	斯洛伐克
Slovenja	斯洛文尼亚
Vilnius	维尔纽斯
Moldova	摩尔多瓦
Rumanija	羅馬尼亞
Bulgarija	保加利亚
Ruma	罗马
Repubblika tal-Maċedonja	馬其頓共和國
Albanija	阿尔巴尼亚
Kroazja	克罗地亚
Bożnija u Ħerżegovina	波斯尼亚和黑塞哥维那
Ażerbajġan	阿塞拜疆
Andorra	安道尔
Ċipru	賽普勒斯
Ġeorġja	格鲁吉亚
Każakistan	哈萨克斯坦
Malta	马耳他
Monako	摩纳哥
Montenegro	蒙特內哥羅
Belt tal-Vatikan	梵蒂冈
San Marino	圣马力诺
Brussell	布鲁塞尔
Kuba	古巴
Beliże	伯利兹
Torri Eiffel	艾菲爾鐵塔
Barbados	巴巴多斯
Volkswagen	大众汽车
Indoneżja	印度尼西亚
Wolfgang Amadeus Mozart	沃尔夫冈·阿马德乌斯·莫扎特
Ludwig van Beethoven	路德维希·范·贝多芬
Afrika t'Isfel	南非
Alġerija	阿尔及利亚
Wikisors	维基文库
Varsavja	华沙
Festival tal-Eurovision	歐洲歌唱大賽
Injam	木材
Pornografija	色情
Ċili	智利
Ġesù	耶稣
Galileo Galilei	伽利略·伽利莱
Merkurju (pjaneta)	水星
Storja	历史
Venere (pjaneta)	金星
Imħabba	愛
Ġove (pjaneta)	木星
Triq ta' Sant'Anna	银河系
Uranu (pjaneta)	天王星
Nettunu (pjaneta)	海王星
Astronomija	天文學
Singapor	新加坡
Xjenza	科学
Liechtenstein	列支敦斯登
Sport	体育运动
Adolf Hitler	阿道夫·希特勒
Facebook	Facebook
L-Ewwel Gwerra Dinjija	第一次世界大战
It-Tieni Gwerra Dinjija	第二次世界大战
Wikotba	維基教科書
Wikikwota	维基语录
Wikiversità	维基学院
Skopje	斯科普里
Szczecin	什切青
Matematika	数学
Lingwa Latina	拉丁语
Baħrejn	巴林
Armenja	亞美尼亞
Serbja	塞尔维亚
Qamar	月球
Awstralja	澳大利亚
Arġentina	阿根廷
Perù	秘鲁
Bijoloġija	生物学
Kambodja	柬埔寨
Faxxa ta' Kuiper	柯伊伯带
Koran	古兰经
Dinosawru	恐龙
Iżlam	伊斯兰教
Ljubljana	卢布尔雅那
Unjoni Ewropea	欧洲联盟
Plovdiv	普罗夫迪夫
Mara	女性
Poeżija	诗歌
Lumija	柠檬
Émile Zola	埃米尔·左拉
Napuljun I ta' Franza	拿破仑一世
Vesuvju	維蘇威火山
Xemx	太阳
Sena dawl	光年
Oċeanja	大洋洲
Sistema Solari	太阳系
Idroġenu	氢
Wikimedia Commons	维基共享资源
Lejl	晚上
Oslo	奥斯陆
Katowice	卡托维兹
Toqba sewda	黑洞
Lionel Messi	利昂内尔·梅西
Karbonju	碳
Ażotu	氮
Ossiġenu	氧
Inter Milan	国际米兰足球俱乐部
Pjaneta	行星
Kleopatra VII	克娄巴特拉七世
Mużika	音乐
Moska	莫斯科
Lingwa Taljana	意大利语
Ċad	乍得
New Zealand	新西兰
Indja	印度
Tuvalu	圖瓦盧
Ħadid	铁
Tonga	東加
Samoa	萨摩亚
Gżejjer Solomon	所罗门群岛
Vanwatu	瓦努阿图
Molière	莫里哀
Papwa Gwinea l-Ġdida	巴布亚新几内亚
William Shakespeare	威廉·莎士比亚
Nawru	諾魯
Kiribati	基里巴斯
Fiġi	斐濟
Veneżwela	委內瑞拉
Genghis Khan	成吉思汗
Żiemel	马
Annimal	动物
Surinam	蘇利南
Paragwaj	巴拉圭
Gujana	圭亚那
Arti	艺术
Ekwador	厄瓜多尔
Kolombja	哥伦比亚
Buddiżmu	佛教
Bolivja	玻利維亞
Trinidad u Tobago	千里達及托巴哥
Saint Vincent u l-Grenadini	圣文森特和格林纳丁斯
Santa Luċija	圣卢西亚
Leonardo da Vinci	列奥纳多·达·芬奇
Saint Kitts u Nevis	聖克里斯多福與尼維斯
Ġamajka	牙买加
Grenada	格林纳达
Gwatemala	危地马拉
Baħamas	巴哈马
Antigwa u Barbuda	安提瓜和巴布达
Ħonduras	洪都拉斯
Dominika	多米尼克
Repubblika Dominikana	多明尼加
Ħaiti	海地
El Salvador	萨尔瓦多
Iran	伊朗
Iraq	伊拉克
Kosta Rika	哥斯达黎加
Iżrael	以色列
Panama	巴拿马
Jemen	也门
Lingwa pollakka	波兰语
Ġordan	约旦
Nikaragwa	尼加拉瓜
Libanu	黎巴嫩
Maldive	马尔代夫
Malażja	马来西亚
Burma	缅甸
Pakistan	巴基斯坦
Qatar	卡塔尔
Arabja Sawdija	沙特阿拉伯
Sri Lanka	斯里蘭卡
Josif Stalin	斯大林
YouTube	YouTube
Aristotli	亚里士多德
Emirati Għarab Magħquda	阿拉伯联合酋长国
Vjetnam	越南
Korea t'Isfel	大韩民国
Afganistan	阿富汗
Bangladexx	孟加拉国
Mali	马里共和国
Angola	安哥拉
Butan	不丹
Brunej	文莱
Tanżanija	坦桑尼亚
Repubblika Ċentru-Afrikana	中非共和國
Isaac Newton	艾萨克·牛顿
Isfar	黄色
Mekkanika kwantistika	量子力学
Togo	多哥
Tuneżija	突尼西亞
Żambja	赞比亚
Żimbabwe	辛巴威
Sudan t'Isfel	南蘇丹
Benin	贝宁
Botswana	波札那
Wikiħbarijiet	维基新闻
Burkina Faso	布吉納法索
Burundi	蒲隆地
Komoros	葛摩
Repubblika tal-Kongo	刚果共和国
Repubblika Demokratika tal-Kongo	刚果民主共和国
Ġibuti	吉布提
Bavarja	巴伐利亚
Ginea Ekwatorjali	赤道几内亚
Eritrea	厄立特里亚
Papa Ġwanni Pawlu II	若望·保祿二世
Gabon	加蓬
Mahatma Gandhi	圣雄甘地
Gambja	冈比亚
Ginea	几内亚
Ginea Bissaw	幾內亞比索
Kosta tal-Avorju	科特迪瓦
Kamerun	喀麦隆
Kap Verde	佛得角
Lesoto	莱索托
Liberja	利比里亚
Libja	利比亚
Madagaskar	马达加斯加
Malawi	马拉维
Mawritanja	毛里塔尼亚
Mawrizju	毛里求斯
Marokk	摩洛哥
Możambik	莫桑比克
Namibja	纳米比亚
Niġer	尼日尔
Niġerja	奈及利亞
Charles Darwin	查尔斯·达尔文
Uganda	乌干达
Rwanda	卢旺达
São Tomé u Príncipe	圣多美和普林西比
Senegal	塞内加尔
Seychelles	塞舌尔
Sierra Leone	塞拉利昂
Somalja	索马里
Sudan	苏丹共和国
Sważiland	斯威士兰
Amburgu	汉堡
Evoluzzjoni	演化
Ġnus Magħquda	联合国
Dante Alighieri	但丁·阿利吉耶里
Ġeografija	地理学
Qalb	心臟
Praga	布拉格
Ikħal	藍色
Limburgu (Belġju)	林堡省 (比利时)
Fjandri tal-Punent	西佛兰德省
Fjandri tal-Lvant	东佛兰德省
Antwerp (provinċja)	安特衛普省
Brabant Fjamming	弗拉芒-布拉班特省
Merkurju (mitoloġija)	墨丘利
Hector Berlioz	埃克托·柏辽兹
Giorgio Napolitano	乔治·纳波利塔诺
Francesco Cossiga	弗朗切斯科·科西加
Oċean Indjan	印度洋
Kosovo	科索沃
Frédéric Chopin	弗雷德里克·肖邦
Kategorija:Prinċipali	Category:頁面分類
Dortmund	多特蒙德
The Beatles	披頭四樂隊
Osama Bin Laden	奥萨马·本·拉登
Lingwa Spanjola	西班牙语
Montevideo	蒙得维的亚
Johann Sebastian Bach	约翰·塞巴斯蒂安·巴赫
Brimba	蜘蛛
Virġilju	维吉尔
Uetersen	于特森
Karozza	汽车
Żagreb	萨格勒布
Sqallija	西西里岛
Maurits Cornelis Escher	莫里茨·科内利斯·埃舍尔
Buenos Aires	布宜諾斯艾利斯
Belt tal-Messiku	墨西哥城
Tokjo	東京都
Barċellona	巴塞罗那
Ateni	雅典
AC Milan	AC米兰
Ħavana	哈瓦那
Édith Piaf	艾迪特·皮雅芙
Kopenħagen	哥本哈根
Stokkolma	斯德哥尔摩
Ħelsinki	赫尔辛基
Dublin	都柏林
Rejkjavik	雷克雅維克
Tallinn	塔林
Riga	里加
Bratislava	布拉迪斯拉发
Gdańsk	格但斯克
Lussemburgu (belt)	盧森堡市
Bibbja	聖經
Ho Chi Minh (belt)	胡志明市
Knisja Vera ta' Ġesù	真耶稣教会
Dong Hoi	同海市
Concepción (Ċili)	康塞普西翁 (智利)
Atalanta BC	亞特蘭大足球俱樂部
Bolonja	博洛尼亚
Bologna FC 1909	博洛尼亚足球俱乐部
Cagliari	卡利亚里
Kiev	基輔
Cagliari Calcio	卡利亚里足球俱乐部
Karim Benzema	卡里姆·本泽马
Patrice Evra	帕特里斯·埃夫拉
Końskowola	孔斯科沃拉
2014	2014年
2015	2015年
2007	2007年
ACF Fiorentina	佛罗伦萨足球俱乐部
Serp	蛇
1 ta' Jannar	1月1日
2 ta' Jannar	1月2日
Rivoluzzjoni Industrijali	工业革命
Imperu Ruman	羅馬帝國
Minsk	明斯克
Microsoft	微软
8 ta' Diċembru	12月8日
Kurów	库鲁夫
Kimika	化學
19 ta' Marzu	3月19日
Papa Benedittu XVI	本篤十六世
Papa Piju XII	庇護十二世
Watford FC	沃特福德足球俱乐部
Futbol	足球
L-Olokawst	納粹大屠殺
Madrid	马德里
Michael Jackson	迈克尔·杰克逊
5 ta' Settembru	9月5日
4 ta' Settembru	9月4日
Santiago (Ċili)	圣地亚哥-德智利
25 ta' Ottubru	10月15日
5 ta' Novembru	11月5日
22 ta' Novembru	11月22日
Aħdar	綠色
Aħmar	红色
Lourdes	盧爾德
Rabat (Marokk)	拉巴特
Kometa	彗星
Belgrad	贝尔格莱德
Kategorija:Mudelli	Category:維基百科模板
George Sand	乔治·桑
Nikosija	尼科西亚
Asterojde	小行星
Manama	麦纳麦
Eklissi solari	日食
Wikipedija:Paġna tal-provi	Wikipedia:沙盒
Nettunu (mitoloġija)	尼普顿
Alġebra	代数
Ajruport Dong Hoi	同海機場
Miley Cyrus	麥莉·希拉
Curitiba	庫里奇巴
Pangea	盤古大陸
Kategorija:1888	Category:1888年
Pika Alpina	高山鼠兔
Konfuċju	孔子
Corbin Bleu	柯賓·布魯
Kategorija:Matematika	Category:数学
Gżejjer Faroe	法罗群岛
Mudell:Dati pajjiż Iran	Template:Country data Iran
Ġove (mitoloġija)	朱庇特
Sherlock Holmes	歇洛克·福尔摩斯
Rinaxximent	文艺复兴
Kategorija:Twieldu fl-1888	Category:1888年出生
Ewro	欧元
Baħar Mediterran	地中海
Kristjaneżmu	基督教
Mudell:Favur	Template:Support
Għasfur	鸟
Belt kapitali	首都
Monzón	蒙宗
Mustafa Kemal Atatürk	穆斯塔法·凯末尔·阿塔蒂尔克
Mudell:Portal	Template:Portal
Huang Xianfan	黄现璠
Bill Gates	比尔·盖茨
Struttura .NET	.NET框架
Enċiklopedija	百科全书
Il-Paġna prinċipali	Wikipedia:首页
Baskitbol	篮球
Francisco Goya	弗朗西斯科·戈雅
Albrecht Dürer	阿尔布雷希特·丢勒
Frida Kahlo	芙烈達·卡蘿
Mikelanġlu	米开朗基罗
Miguel de Cervantes	米格尔·德·塞万提斯
Charles Dickens	查尔斯·狄更斯
Mekka	麥加
Che Guevara	切·格瓦拉
Mao Zedong	毛泽东
Johann Wolfgang von Goethe	约翰·沃尔夫冈·冯·歌德
Filosofija	哲学
Jimi Hendrix	吉米·亨德里克斯
Kategorija:Proposti għat-tħassir minnufih	Category:快速删除候选
Hebe Camargo	赫柏·卡马戈
Komuniżmu	共产主义
Saħara tal-Punent	西撒哈拉
Pajjiż	国家
Kartaġni	迦太基
Kategorija:Astronomija	Category:天文学
UTC−3:30	UTC-3:30
Søren Kierkegaard	索倫·奧貝·克爾凱郭爾
Bolzano	波尔查诺
Rivoluzzjoni Franċiża	法国大革命
Saħara	撒哈拉沙漠
Strażburgu	斯特拉斯堡
Lingwa Kroata	克罗地亚语
UTC+1	UTC+1
Omeru	荷马
UTC+2	UTC+2
UTC+3	UTC+3
Lena Meyer-Landrut	萊娜·邁爾-蘭德魯特
Seklu XVII	17世纪
Ateiżmu	无神论
Ekoloġija	生态学
FC Barcelona	巴塞罗那足球俱乐部
Marie Curie	玛丽·居里
Premju Nobel	诺贝尔奖
Alan Turing	艾伦·图灵
Ideoloġija	意識形態
Ada Lovelace	愛達·勒芙蕾絲
