ਅਫ਼ਰੀਕਾ	非洲
ਜਪਾਨ	日本
ਦੱਖਣੀ ਅਮਰੀਕਾ	南美洲
ਨਾਰਵੇ	挪威
ਇੰਗਲੈਂਡ	英格兰
ਸਕਾਟਲੈਂਡ	蘇格蘭
ਵੇਲਜ਼	威爾士
ਉੱਤਰੀ ਆਇਰਲੈਂਡ	北爱尔兰
ਆਇਰਲੈਂਡ ਗਣਰਾਜ	爱尔兰共和国
ਹੰਗਰੀ	匈牙利
ਸਪੇਨ	西班牙
ਸੰਯੁਕਤ ਰਾਜ ਅਮਰੀਕਾ	美国
ਬੈਲਜੀਅਮ	比利时
ਲਕਸਮਬਰਗ	卢森堡
ਧਰਤੀ	地球
ਜੀਵਨ	生命
ਮੌਤ	死亡
ਮਨੁੱਖ	人
ਖ਼ੁਸ਼ੀ	快樂
ਜਾਰਜ ਵਾਸ਼ਿੰਗਟਨ	乔治·华盛顿
ਇਮੈਜਿਨ (ਗੀਤ)	Imagine (歌曲)
ਫ਼ਿਨਲੈਂਡ	芬兰
ਸਵੀਡਨ	瑞典
ਡੈੱਨਮਾਰਕ	丹麦
ਪੋਲੈਂਡ	波兰
ਲਿਥੁਆਨੀਆ	立陶宛
ਇਟਲੀ	意大利
ਸਵਿਟਜ਼ਰਲੈਂਡ	瑞士
ਆਸਟਰੀਆ	奥地利
ਯੂਨਾਨ	希腊
ਤੁਰਕੀ	土耳其
ਪੁਰਤਗਾਲ	葡萄牙
ਯੂਰਪ	欧洲
ਏਸ਼ੀਆ	亚洲
ਉੱਤਰੀ ਅਮਰੀਕਾ	北美洲
ਅੰਟਾਰਕਟਿਕਾ	南极洲
ਵਿਕੀਪੀਡੀਆ	维基百科
ਨੀਦਰਲੈਂਡ	荷兰
ਸ਼ਿਸ਼ਨ	阴茎
ਨਿਊਯਾਰਕ ਸ਼ਹਿਰ	纽约
ਵਾਸ਼ਿੰਗਟਨ, ਡੀ.ਸੀ.	华盛顿哥伦比亚特区
ਸਾਨ ਫ਼ਰਾਂਸਿਸਕੋ	旧金山
ਬਰਲਿਨ	柏林
ਲਾਸ ਐਂਜਲਸ	洛杉矶
ਕੰਪਿਊਟਰ	電子計算機
ਬਰਨ	伯尔尼
ਜਨੇਵਾ	日内瓦
ਜ਼ਿਊਰਿਖ	苏黎世
ਇੰਟਰਨੈੱਟ	互联网
ਬਰਾਕ ਓਬਾਮਾ	贝拉克·奥巴马
ਉਰੂਗੁਏ	乌拉圭
ਲੰਡਨ	伦敦
