संयुक्त राज्य अमेरिका	美国
वासिंगटन डि सि	华盛顿哥伦比亚特区
क्यालिफोर्निया	加利福尼亚州
बोस्टन	波士顿
अलाबामा	亚拉巴马州
दूरदर्शन यन्त्र	电视
चिले	智利
एल्भिस प्रेस्ली	埃爾維斯·皮禮士利
गणितं	数学
लेक वालेसा	莱赫·瓦文萨
६६६	666年
आकासो	天空
पोत्थकं	图书
भारत	印度
मेइन	缅因州
Ariyasaccāni	动物
न्हु ह्याम्प्शायर	新罕布什尔州
म्यासेच्युसेट्स	麻薩諸塞州
कनेक्टिकट	康乃狄克州
हवाई	夏威夷州
अलास्का	阿拉斯加州
फ्लोरिडा	佛罗里达州
अराइजोना	亞利桑那州
ओरेगन	俄勒冈州
उटाह	犹他州
नेपाल	尼泊尔
द सिम्प्सनस्	辛普森一家
बंगलादेश	孟加拉国
असमरज्जं	阿萨姆邦
मिसिगन	密歇根州
छत्तीसगढ़	恰蒂斯加尔邦
इलिनोइ	伊利诺伊州
उत्तर डेकोटा	北达科他州
दक्षिण ड्याकोटा	南达科他州
मोन्टाना	蒙大拿州
वायोमिंग	怀俄明州
आइडाहो	爱达荷州
वासिंगटन	华盛顿州
नेभेदा	内华达州
कोलोर्याडो	科羅拉多州
भर्जिनिया	弗吉尼亚州
पश्चिम भर्जिनिया	西維吉尼亞州
न्हु यर्क	纽约州
रोड टापू	羅德島州
मेरील्यान्ड	马里兰州
डेलावेर	特拉华州
ओहायो	俄亥俄州
पेन्सिल्भेनिया	宾夕法尼亚州
न्हु जर्सी	新泽西州
इन्डियाना	印第安纳州
ज्योर्जिया	喬治亞州
टेक्सास	德克萨斯州
उत्तर क्यारोलिना	北卡罗来纳州
दक्षिण क्यारोलिना	南卡罗来纳州
मिसिसिप्पी	密西西比州
टेनिसी	田纳西州
न्हु मेक्सिको	新墨西哥州
मिनेसोटा	明尼蘇達州
विन्कोसिन	威斯康辛州
आयोवा	艾奥瓦州
नेब्रास्का	內布拉斯加州
कान्सास्	堪薩斯州
मिसौरी	密蘇里州
लुइजियाना	路易斯安那州
केन्चकी	肯塔基州
आर्कान्स:	阿肯色州
उर्दू भाषा	乌尔都语
ओक्लाहोमा	奧克拉荷馬州
आंगलभाषा	英语
२०००	2000年
२००३	2003年
२००२	2002年
२००१	2001年
२०१२	2012年
२०११	2011年
२०१०	2010年
२००९	2009年
२०१३	2013年
२०१४	2014年
२०१५	2015年
२००८	2008年
२००४	2004年
२००५	2005年
२००६	2006年
२००७	2007年
१९००	1900年
१९०१	1901年
१९०२	1902年
१९०३	1903年
१९०४	1904年
१९०५	1905年
१९०७	1907年
१९०६	1906年
१९०८	1908年
१९०९	1909年
१९९२	1992年
१९९१	1991年
१९९०	1990年
१९९३	1993年
१९९४	1994年
१९९५	1995年
१९९६	1996年
१९१०	1910年
१९११	1911年
१९१२	1912年
१९१३	1913年
१९१४	1914年
१९१५	1915年
१९१६	1916年
१९९७	1997年
१९९८	1998年
१९९९	1999年
१९१७	1917年
१९१८	1918年
१९२०	1920年
१९१९	1919年
१९२१	1921年
१९२२	1922年
१९२३	1923年
१९२४	1924年
२७	27年
१९८९	1989年
१९८८	1988年
१९८७	1987年
१९८६	1986年
१९८५	1985年
१९८४	1984年
१९८३	1983年
१९८२	1982年
१९८१	1981年
१९८०	1980年
१९७०	1970年
१९७१	1971年
१९७२	1972年
१९७३	1973年
१९७४	1974年
१९७५	1975年
१९७६	1976年
१९७७	1977年
१९७८	1978年
१९७९	1979年
१९६९	1969年
१९६८	1968年
१९६७	1967年
१९६६	1966年
१९६५	1965年
१९६४	1964年
१९६३	1963年
१९६२	1962年
१९६१	1961年
१९६०	1960年
Wikipedia:Sandbox	Wikipedia:沙盒
वनं	森林
कोन्ग् चि	孔子
१४८८	1488年
१००४	1004年
१९४८	1948年
१९४९	1949年
१९५६	1956年
१२००	1200年
१२०१	1201年
१२०२	1202年
१२०३	1203年
१२०४	1204年
१२०५	1205年
१२०६	1206年
१९४१	1941年
१२०७	1207年
१२०८	1208年
१९४५	1945年
१२०९	1209年
१२१०	1210年
१२११	1211年
१९५८	1958年
१२१२	1212年
१९२६	1926年
१२१३	1213年
१९४७	1947年
१९४४	1944年
१९५२	1952年
पमुख पत्त Pamukha patta	Wikipedia:首页
१९५९	1959年
पटिरूप:Good article	Template:Good article
१९५७	1957年
१२१४	1214年
१२१५	1215年
१२१६	1216年
१२१७	1217年
१२१८	1218年
१२१९	1219年
१२२०	1220年
१२२१	1221年
१२२२	1222年
१२२३	1223年
१२२४	1224年
१२२५	1225年
१२२६	1226年
१२२७	1227年
१२२८	1228年
१२२९	1229年
१२३०	1230年
१२३१	1231年
१२३२	1232年
१२३३	1233年
१२३४	1234年
१२३५	1235年
१२३६	1236年
१२३७	1237年
१२३८	1238年
१२३९	1239年
१२४०	1240年
१२४१	1241年
१२४२	1242年
१२४३	1243年
१२४४	1244年
१२४५	1245年
१२४६	1246年
बार्ट सिम्प्सन	巴特·辛普森
१२४७	1247年
१२४८	1248年
१२४९	1249年
१२५०	1250年
१२५१	1251年
१२५२	1252年
१२५३	1253年
१२५४	1254年
१२५५	1255年
१२५६	1256年
१२५७	1257年
१२५८	1258年
१२५९	1259年
१२६०	1260年
१२६१	1261年
१२६२	1262年
१२६३	1263年
१२६४	1264年
१२६५	1265年
१२६६	1266年
१२६७	1267年
१२६८	1268年
१२६९	1269年
१२७०	1270年
१२७१	1271年
१२७२	1272年
१२७३	1273年
१२७४	1274年
१२७५	1275年
१२७६	1276年
१२७७	1277年
१२७८	1278年
१२७९	1279年
१२८०	1280年
१२८१	1281年
१२८२	1282年
१२८३	1283年
१२८४	1284年
१२८५	1285年
१२८६	1286年
१२८७	1287年
१२८८	1288年
१२८९	1289年
१२९०	1290年
१२९१	1291年
१२९२	1292年
१२९३	1293年
१२९४	1294年
१२९५	1295年
१२९६	1296年
१२९७	1297年
१२९८	1298年
१२९९	1299年
१३००	1300年
१३०१	1301年
१३०२	1302年
१३०३	1303年
१३०४	1304年
१३०५	1305年
१३०६	1306年
१३०७	1307年
१३०८	1308年
१३०९	1309年
१३१०	1310年
१३११	1311年
१३१२	1312年
१३१३	1313年
१३१४	1314年
१३१५	1315年
१३१६	1316年
१३१७	1317年
१३१८	1318年
१३१९	1319年
१३२०	1320年
१३२१	1321年
१३२२	1322年
१३२३	1323年
१३२४	1324年
१३२५	1325年
१३२६	1326年
१३२७	1327年
१३२८	1328年
१३२९	1329年
१३३०	1330年
१३३१	1331年
१३३२	1332年
१३३३	1333年
१३३४	1334年
१३३५	1335年
१३३६	1336年
१३३७	1337年
१३३८	1338年
१३३९	1339年
१३४०	1340年
१३४१	1341年
१३४२	1342年
१३४३	1343年
१३४४	1344年
१३४५	1345年
१३४६	1346年
१३४७	1347年
१३४८	1348年
१३४९	1349年
१३५०	1350年
१३५१	1351年
१४००	1400年
१४०१	1401年
१३५२	1352年
१४०२	1402年
१३५३	1353年
१४०३	1403年
१३५४	1354年
१४०४	1404年
१३५५	1355年
१४०५	1405年
१५००	1500年
१४०६	1406年
१३५६	1356年
१५०१	1501年
१४०७	1407年
१३५७	1357年
१५०२	1502年
१४०८	1408年
१३५८	1358年
१५०३	1503年
१३५९	1359年
१४०९	1409年
१५०४	1504年
१३६०	1360年
१४१०	1410年
१५०५	1505年
१५०६	1506年
१४११	1411年
१३६१	1361年
१५०७	1507年
१४१२	1412年
१३६२	1362年
१४१३	1413年
१५०८	1508年
१३६३	1363年
१५०९	1509年
१४१४	1414年
१५१०	1510年
१४१५	1415年
१३६४	1364年
१५११	1511年
१४१६	1416年
१३६५	1365年
१५१२	1512年
१४१७	1417年
१३६६	1366年
१५१३	1513年
१४१८	1418年
१३६७	1367年
१५१४	1514年
१४१९	1419年
१३६८	1368年
१५१५	1515年
१४२०	1420年
१३६९	1369年
१५१६	1516年
१४२१	1421年
१३७०	1370年
१३७१	1371年
१३७२	1372年
१३७३	1373年
१४२२	1422年
१५१७	1517年
१४२३	1423年
१५१८	1518年
१३७४	1374年
१४२४	1424年
१३७५	1375年
१५१९	1519年
१३७६	1376年
१४२५	1425年
१५२०	1520年
१५२१	1521年
१३७७	1377年
१४२६	1426年
१५२२	1522年
१५२३	1523年
१४२७	1427年
१३७८	1378年
१५२४	1524年
१५२५	1525年
१४२८	1428年
१३७९	1379年
१५२६	1526年
१४२९	1429年
१३८०	1380年
१३८१	1381年
१३८२	1382年
१३८३	1383年
१४३०	1430年
१४३१	1431年
इन्डियानापोलिस	印第安納波利斯
१३८४	1384年
१४३२	1432年
१३८५	1385年
१३८६	1386年
१४३३	1433年
१३८७	1387年
१४३४	1434年
१४३५	1435年
१३८८	1388年
१४३६	1436年
१३८९	1389年
१४३७	1437年
१३९०	1390年
१४३८	1438年
१३९१	1391年
१४३९	1439年
१३९२	1392年
१४४०	1440年
१३९३	1393年
