आफ्रिकाखण्डः	非洲
जपान्	日本
दक्षिणामेरिका	南美洲
नार्वे	挪威
इङ्ग्लेण्डदेशः	英格兰
ऐर्लेण्ड्देशः	爱尔兰共和国
हंगरी	匈牙利
स्पेन्	西班牙
अमेरिकासंयुक्तराज्यम्	美国
बेल्जियम्	比利时
लक्सम्बर्ग	卢森堡
पृथ्वी	地球
मनुष्यः	人
जार्ज वाशिंगटन	乔治·华盛顿
फिन्लैंड	芬兰
स्वीडन	瑞典
डेनमार्क	丹麦
पोलॅण्ड्	波兰
लेतुवा	立陶宛
इटली	意大利
स्विट्झर्ल्याण्ड्	瑞士
आस्ट्रिया	奥地利
यवनदेशः	希腊
तुर्की	土耳其
पुर्तगाल	葡萄牙
यूरोपखण्डः	欧洲
जम्बूद्वीपः	亚洲
उत्तर-अमेरिकाखण्डः	北美洲
अण्टार्क्टिका	南极洲
विकिपीडिया	维基百科
नेदर्लेण्ड्देशः	荷兰
शिश्	阴茎
न्‍यू यॉर्क्	纽约
वाशिङ्ग्टन् डि सि	华盛顿哥伦比亚特区
लास एंजलस	洛杉矶
सङ्गणकम्	電子計算機
जिनीवा	日内瓦
अन्तरजालम्	互联网
बराक् ओबामा	贝拉克·奥巴马
उरुग्वाय	乌拉圭
लन्डन्	伦敦
शिरोवेदना	頭痛
सेवफलम्	苹果
अट्लाण्टिक्-महासागरः	大西洋
प्रशान्तमहासागरः	太平洋
कालिफ़ोर्निया	加利福尼亚州
बास्टन्	波士顿
सोमवासरः	星期一
जनवरी	1月
फरवरी	2月
मार्च	3月
मङ्गलः	火星
केन्या	肯尼亚
ईथ्योपिया	埃塞俄比亚
घाना	加纳
अप्रैल	4月
मई	5月
जून	6月
जुलाई	7月
अगस्त	8月
सितम्बर	9月
अक्तूबर	10月
नवम्बर	11月
दिसम्बर	12月
मङ्गलवासरः	星期二
बुधवासरः	星期三
गुरुवासरः	星期四
शुक्रवासरः	星期五
शनिवासरः	星期六
रविवासरः	星期日
फ्रान्सदेशः	法国
एस्पेरान्तो	世界语
शुनकः	犬
संयुक्त अधिराज्य	英国
मार्जालः	猫
फ्रांसीसी भाषा	法语
मत्स्याः	鱼
ब्रासील	巴西
रशिया	俄罗斯
अलाबामा	亚拉巴马州
साओ पाओलो	聖保羅 (巴西)
विकिमीडिया	维基媒体基金会
जर्मनी	德国
बेलारूस	白俄罗斯
जर्मन् भाषा	德语
आइसलैंड	冰岛
एस्टोनिया	爱沙尼亚
शनिः	土星
युद्धम्	战争
शून्यम् (सङ्ख्या)	0
जार्ज डबल्यु बुश	乔治·沃克·布什
लाट्विया	拉脫維亞
ज़ेक् रिपब्लिक	捷克
स्लोवाकिया	斯洛伐克
स्लोवीनिया	斯洛文尼亚
मोल्दोवा	摩尔多瓦
बुल्गारिया	保加利亚
रोमा	罗马
मेसेडोनिया	馬其頓共和國
अल्बेनिया	阿尔巴尼亚
क्रोएशिया	克罗地亚
बास्निया	波斯尼亚和黑塞哥维那
अजर्बैजान	阿塞拜疆
अण्डोरा	安道尔
जार्जिया (देशः)	格鲁吉亚
कजाकस्थान	哈萨克斯坦
माल्टा	马耳他
मोनाको	摩纳哥
वैटिकन	梵蒂冈
सान मरीनो	圣马力诺
क्यूबा	古巴
बेलीज	伯利兹
बार्बाडोस	巴巴多斯
इण्डोनेशिया	印度尼西亚
वोल्फगांग आमाडेउस मोझार्ट	沃尔夫冈·阿马德乌斯·莫扎特
दक्षिण-आफ्रिका	南非
अल्जीरिया	阿尔及利亚
उजबेकिस्थान	乌兹别克斯坦
जलम्	水
दूरदर्शनम्	电视
चिलि	智利
बुधः	水星
इतिहासः	历史
एप्पल्	蘋果公司
शुक्रः	金星
भाषा	語言
आकाशगङ्गा	星系
गुरुग्रहः	木星
मिशेल बाचेलेत	蜜雪兒·巴切萊
बिग्-ब्याङ्ग्	大爆炸
युरेनस्-ग्रहः	天王星
नेप्चून्-ग्रहः	海王星
ज्योतिषशास्त्रम्	天文學
सिङ्गापुरम्	新加坡
विज्ञानम्	科学
खगोलशास्त्रम्	宇宙学
प्लूटो-ग्रहः	冥王星
लिक्टनस्टैन	列支敦斯登
ऐडॉल्फ् हिटलर्	阿道夫·希特勒
फेस्बुक्	Facebook
द्वितीयविश्वयुद्धम्	第二次世界大战
भ्रष्टाचारः	贪污
विकिसूक्तयः	维基语录
गणितम्	数学
लातिनी	拉丁语
बहरैन	巴林
आर्मीनिया	亞美尼亞
सर्बिया	塞尔维亚
चन्द्रः	月球
आस्ट्रेलिया	澳大利亚
भौतिकशास्त्रम्	物理学
अर्जण्टिना	阿根廷
पेरु	秘鲁
जीवशास्त्रम्	生物学
उत्तर कोरिया	朝鲜民主主义人民共和国
कुरान्	古兰经
इस्लाम्-मतम्	伊斯兰教
वनस्पतिविज्ञानम्	植物学
लेक वलेंसा	莱赫·瓦文萨
कविता	诗歌
जम्बीरम्	柠檬
कदलीफलम्	香蕉
६६६	666年
पुष्पाणि	花
सगरमाथा	珠穆朗瑪峰
नेपोलियन बोनापार्ट	拿破仑一世
तारा	恒星
सूर्यः	太阳
लूयीस् पाश्चर्	路易·巴斯德
ग्रामः	村
विक्टर ह्यूगो	维克多·雨果
ओशीनिया	大洋洲
सूर्यमंडलम्	太阳系
उदजन	氢
हीलियम्	氦
लीथियम्	锂
अहोरात्रम्	日
वर्षः	年
लिस्बन	里斯本
इचिरो सुजुकी	鈴木一朗
बोरान	硼
निकोलस् कपरनिकस्	尼古拉·哥白尼
क्लियोपैत्रा	克娄巴特拉七世
सङ्गीतम्	音乐
मास्कोनगरम्	莫斯科
इतालवी भाषा	意大利语
चाड	乍得
न्यूजिलैण्ड्	新西兰
भारतम्	印度
फ्रान्सियम	钫
टुवालु	圖瓦盧
अयः	铁
टोंगा	東加
गन्धकः	硫
समोआ	萨摩亚
सोलोमन-द्वीप	所罗门群岛
पपुवा न्यू गिनी	巴布亚新几内亚
विलियम शेक्सपीयर	威廉·莎士比亚
नौरु	諾魯
पोटासियम्	钾
सीसम्	铅
किरिबाटी	基里巴斯
मंगोलिया	蒙古国
फिजी	斐濟
वेनेजुयेला	委內瑞拉
चतुरङ्गक्रीडा	國際象棋
चङ्गेझ खान	成吉思汗
मेन	缅因州
क्रोमियम	铬
अश्वः	马
जन्तवः	动物
पेरेग्वाय	巴拉圭
गयाना	圭亚那
कला	艺术
एक्वाडोर	厄瓜多尔
कोलोम्बिया	哥伦比亚
बौद्धधर्मः	佛教
बोलिविया	玻利維亞
ताम्रम्	铜
ओषधयः	植物
सेंड विन्सेन्ड ग्रेनदिनेश्च	圣文森特和格林纳丁斯
दस्ता	锌
न्‍यू हेम्‍पशायर	新罕布什尔州
सेंट लूसिया	圣卢西亚
लियोनार्दो दा विन्सी	列奥纳多·达·芬奇
