Afrihkká	非洲
Jáhpan	日本
Lulli-Amerihkká	南美洲
Norga	挪威
Englánda	英格兰
Irlánda	爱尔兰共和国
Ungára	匈牙利
Spánia	西班牙
Amerihká ovttastuvvan stáhtat	美国
Belgia	比利时
Luxemburg	卢森堡
Eana	地球
Olmmoš	人
Suopma	芬兰
Ruoŧŧa	瑞典
Dánmárku	丹麦
Polska	波兰
Lietuva	立陶宛
Itália	意大利
Šveica	瑞士
Nuortariika	奥地利
Greika	希腊
Durka	土耳其
Portugal	葡萄牙
Eurohpá	欧洲
Ásia	亚洲
Davvi-Amerihkká	北美洲
Antárktis	南极洲
Wikipedia	维基百科
Vuolleeatnamat	荷兰
Washington D.C.	华盛顿哥伦比亚特区
Berlin	柏林
Los Angeles	洛杉矶
Bern	伯尔尼
Barack Obama	贝拉克·奥巴马
Uruguay	乌拉圭
London	伦敦
Kairo	开罗
Paris	巴黎
Meksiko	墨西哥
Atlánta	大西洋
Jaskesáhpi	太平洋
Kalifornia	加利福尼亚州
Vuossárga	星期一
Ođđajagimánnu	1月
Guovvamánnu	2月
Njukčamánnu	3月
Mars	火星
Kenia	肯尼亚
Etiopia	埃塞俄比亚
Ghana	加纳
Cuoŋománnu	4月
Miessemánnu	5月
Geassemánnu	6月
Suoidnemánnu	7月
Borgemánnu	8月
Čakčamánnu	9月
Golggotmánnu	10月
Skábmamánnu	11月
Juovlamánnu	12月
Maŋŋebárga	星期二
Gaskavahkku	星期三
Duorastat	星期四
Bearjadat	星期五
Lávvardat	星期六
Sotnabeaivi	星期日
Ledjon	狮
Frankriika	法国
Esperantogiella	世界语
Ovttastuvvan gonagasriika	英国
Bussá	猫
Kiinná	中华人民共和国
Fránskkagiella	法语
Brasilia	巴西
François Hollande	弗朗索瓦·奥朗德
Ruošša	俄罗斯
Hvaler	鯨目
Kvadráhta	正方形
Π	Π
Toronto	多伦多
Alabama	亚拉巴马州
São Paulo	聖保羅 (巴西)
Duiska	德国
Vilges-Ruošša	白俄罗斯
Duiskkagiella	德语
Islánda	冰岛
Estteeana	爱沙尼亚
Saturn	土星
Agálašvuohta	无穷
George W. Bush	乔治·沃克·布什
Rektáŋgel	矩形
Látvia	拉脫維亞
Ukraina	乌克兰
Čeahkka	捷克
Slovakia	斯洛伐克
Slovenia	斯洛文尼亚
Vilnius	维尔纽斯
Moldova	摩尔多瓦
Románia	羅馬尼亞
Bulgária	保加利亚
Roma	罗马
Makedonia	馬其頓共和國
Albánia	阿尔巴尼亚
Kalaallit Nunaat	格陵兰
Kroatia	克罗地亚
Bosnia ja Hercegovina	波斯尼亚和黑塞哥维那
Nuuk	努克
Aserbaižan	阿塞拜疆
Andorra	安道尔
Kypros	賽普勒斯
Georgia	格鲁吉亚
Kasakstan	哈萨克斯坦
Malta	马耳他
Monaco	摩纳哥
Montenegro	蒙特內哥羅
Vatikána	梵蒂冈
San Marino	圣马力诺
Bryssel	布鲁塞尔-首都大区
Cuba	古巴
Belize	伯利兹
Eiffel-toardna	艾菲爾鐵塔
Barbados	巴巴多斯
Boallobeavdi	电脑键盘
Indonesia	印度尼西亚
Wolfgang Amadeus Mozart	沃尔夫冈·阿马德乌斯·莫扎特
Durkkagiella	土耳其语
Lulli-Afrihkká	南非
Algeria	阿尔及利亚
Usbekistan	乌兹别克斯坦
Čurolastašattut	茅膏菜屬
Warszawa	华沙
Eurovision lávllagilvvohallan	歐洲歌唱大賽
Čáhci	水
Islánddagiella	冰岛语
Chile	智利
Jesus	耶稣
Merkur	水星
Apple Inc.	蘋果公司
Venus	金星
Giella	語言
Jupiter	木星
Álgobávkkeheapmi	大爆炸
Uranus	天王星
Bretagne	布列塔尼半岛
Neptun	海王星
Singapore	新加坡
Liechtenstein	列支敦斯登
Nubbi máilmmisoahti	第二次世界大战
Augusto Pinochet	奥古斯托·皮诺切特
Skopje	斯科普里
Bob Dylan	鲍勃·迪伦
Láhtengiella	拉丁语
Bahrain	巴林
Armenia	亞美尼亞
Higgsa boson	希格斯玻色子
Serbia	塞尔维亚
Mánnu	月球
Istanbul	伊斯坦堡
Australia	澳大利亚
Argentiinná	阿根廷
Peru	秘鲁
Davvi-Korea	朝鲜民主主义人民共和国
Cambodja	柬埔寨
Isláma	伊斯兰教
Pearamuorat	梨
Ljubljana	卢布尔雅那
Lech Wałęsa	莱赫·瓦文萨
Eurohpá uniovdna	欧洲联盟
Rhône-Alpes	罗纳-阿尔卑斯
Sofia	索菲亞
666	666年
Mount Everest	珠穆朗瑪峰
Beaivváš	太阳
Oseania	大洋洲
Beaivvášgoddi	太阳系
Angela Merkel	安格拉·默克爾
Jándor	日
Nuorta-Timor	东帝汶
Jahki	年
Jahkečuohti	世纪
Oslo	奥斯陆
Katowice	卡托维兹
Lisboa	里斯本
Dubai	杜拜
Planehta	行星
Moskva	莫斯科
Itáliagiella	意大利语
Chad	乍得
Ođđa-Selánda	新西兰
India	印度
Tuvalu	圖瓦盧
Tonga	東加
Samoa	萨摩亚
Salomonsullot	所罗门群岛
Vanuatu	瓦努阿图
Papua-Ođđa-Guinea	巴布亚新几内亚
William Shakespeare	威廉·莎士比亚
Palau	帛琉
Nauru	諾魯
Mikronesia	密克罗尼西亚联邦
Marshallsullot	馬紹爾群島
Kiribati	基里巴斯
Mongolia	蒙古国
Fiži	斐濟
Venezuela	委內瑞拉
Šáhkka	國際象棋
Maine	缅因州
Heabuš	马
Amsterdam	阿姆斯特丹
Suriname	蘇利南
Paraguay	巴拉圭
Guyana	圭亚那
Ecuador	厄瓜多尔
Kolombia	哥伦比亚
Eanamuorjjit	草莓属
Buddhisma	佛教
Bolivia	玻利維亞
New Hampshire	新罕布什尔州
Leonardo da Vinci	列奥纳多·达·芬奇
Saint Christopher ja Nevis	聖克里斯多福與尼維斯
Guobbarat	真菌
Jamaica	牙买加
Grenada	格林纳达
Massachusetts	麻薩諸塞州
Guatemala	危地马拉
Bahama	巴哈马
Connecticut	康乃狄克州
Antigua ja Barbuda	安提瓜和巴布达
Haváija	夏威夷州
Honduras	洪都拉斯
Dominica	多米尼克
Dominikána dásseváldi	多明尼加
Haiti	海地
El Salvador	萨尔瓦多
Iran	伊朗
Irak	伊拉克
Alaska	阿拉斯加州
Costa Rica	哥斯达黎加
Israel	以色列
Panama	巴拿马
Jemen	也门
Polskkagiella	波兰语
Jordánia	约旦
Nicaragua	尼加拉瓜
Florida	佛罗里达州
Kirgisistan	吉尔吉斯斯坦
Arizona	亞利桑那州
Kuwait	科威特
Laos	老挝
Libanon	黎巴嫩
Oregon	俄勒冈州
Ipmil (risttalašvuohta)	基督教的神
Malediivvat	马尔代夫
Utah	犹他州
Malaysia	马来西亚
Valais (kantona)	瓦莱州
Myanmar	缅甸
Nepal	尼泊尔
Oman	阿曼
Pakistan	巴基斯坦
Qatar	卡塔尔
Saudi-Arábia	沙特阿拉伯
Sri Lanka	斯里蘭卡
Syria	叙利亚
Platon	柏拉图
Tažikistan	塔吉克斯坦
Taiwan	中華民國
YouTube	YouTube
Aristoteles	亚里士多德
Thaieana	泰国
Turkmenistan	土库曼斯坦
Ovttastuvvan arábaemiráhtat	阿拉伯联合酋长国
Vietnam	越南
Lulli-Korea	大韩民国
Afganistan	阿富汗
Nižni Novgorod	下诺夫哥罗德
J. R. R. Tolkien	J·R·R·托尔金
Golli	金
Bangladesh	孟加拉国
Mali	马里共和国
Angola	安哥拉
Bhutan	不丹
Brunei	文莱
Tanzánia	坦桑尼亚
Filippiinnat	菲律宾
Gaska-Afrihká dásseváldi	中非共和國
Davvipola	北极点
Albert Einstein	阿尔伯特·爱因斯坦
Togo	多哥
Tunisia	突尼西亞
Zámbia	赞比亚
Zimbabwe	辛巴威
Peking	北京市
Lulli-Sudan	南蘇丹
Tuva	图瓦共和国
Benin	贝宁
Botswana	波札那
Burkina Faso	布吉納法索
Burundi	蒲隆地
Komorat	葛摩
Kongo dásseváldi	刚果共和国
Kongo demokráhtalaš dásseváldi	刚果民主共和国
Djibouti	吉布提
Bayern	巴伐利亚
Beaivvedási Guinea	赤道几内亚
Baden-Württemberg	巴登-符腾堡
Eritrea	厄立特里亚
New Delhi	新德里
Tbilisi	第比利斯
Gabon	加蓬
Gambia	冈比亚
Guinea	几内亚
Guinea-Bissau	幾內亞比索
Elefántačalánriddu	科特迪瓦
Kamerun	喀麦隆
Kap Verde	佛得角
Lesotho	莱索托
Liberia	利比里亚
Libya	利比亚
Madagaskar	马达加斯加
Malawi	马拉维
Mauritánia	毛里塔尼亚
Mauritius	毛里求斯
Marokko	摩洛哥
Mosambik	莫桑比克
Namibia	纳米比亚
Niger	尼日尔
Nigeria	奈及利亞
Uganda	乌干达
Rwanda	卢旺达
São Tomé ja Príncipe	圣多美和普林西比
Senegal	塞内加尔
Seychellsullot	塞舌尔
Sierra Leone	塞拉利昂
Somália	索马里
Sudan	苏丹共和国
Svazieana	斯威士兰
Hamborg	汉堡
Ovttastuvvan našuvnnat	联合国
Praha	布拉格
Bill Clinton	比尔·克林顿
Lothringen	洛林
Auvergne	奥弗涅
Michigan	密歇根州
Goa	果阿邦
Burgundi	勃艮第
Akvitania	阿基坦
Limousin	利穆赞
Slesvig-Holsten	石勒苏益格-荷尔斯泰因
Mecklenburg-Vorpommern	梅克倫堡-西波美拉尼亞
Niedersachsen	下萨克森
Nordrhein-Westfalen	北莱茵-威斯特法伦
Hessen	黑森
Rheinland-Pfalz	莱茵兰-普法尔茨
Saarland	薩爾蘭
Sachsen	萨克森自由州
Illinois	伊利诺伊州
Thüringen	图林根
Sachsen-Anhalt	萨克森-安哈尔特
Davvi-Dakota	北达科他州
Brandenburg	勃兰登堡
Bremen	不來梅州
Lombardia	伦巴第
Lulli-Dakota	南达科他州
Montana	蒙大拿州
Wyoming	怀俄明州
Piemonte	皮埃蒙特
Idaho	爱达荷州
Valle d'Aosta	瓦莱达奥斯塔
Washington (oassestáhta)	华盛顿州
Nevada	内华达州
Trentino-Alto Adige	特伦蒂诺-上阿迪杰
Veneto	威尼托
Friuli-Venezia Giulia	弗留利-威尼斯朱利亚
Ban Ki-moon	潘基文
Kofi Annan	科菲·安南
Liguria	利古里亞
Colorado	科羅拉多州
Emilia-Romagna	艾米利亚-罗马涅
Toscana	托斯卡纳
Marche	马尔凯
Umbria	翁布里亚
Kategoriija:Váldokategoriijat	Category:頁面分類
Latium	拉齐奥
Abruzzo	阿布鲁佐
Chicago	芝加哥
Spánskagiella	西班牙语
Montevideo	蒙得维的亚
Delhi	德里
Heavdni	蜘蛛
Islamabad	伊斯兰堡
Šattus	果实
Áhppa	猴
Virginia	弗吉尼亚州
Oarje-Virginia	西維吉尼亞州
