Afrika	非洲
Jabaan	日本
Ameerikada koonfureed	南美洲
Norway	挪威
Ingiriiska	英格兰
Skotland	蘇格蘭
Waalis	威爾士
Waqooyiga Ayrland	北爱尔兰
Ireland	爱尔兰共和国
Hungaria	匈牙利
Isbania	西班牙
Mareykanka	美国
Beljim	比利时
Luksemburg	卢森堡
Koon	宇宙
Dhul	地球
Nolosha	生命
Biniaadan	人
George Washington	乔治·华盛顿
Finland	芬兰
Iswiidhan	瑞典
Denmark	丹麦
Boland	波兰
Lithuaniya	立陶宛
Talyaaniga	意大利
Iswisarland	瑞士
Austriya	奥地利
Giriig	希腊
Turkiga	土耳其
Bortuqaal	葡萄牙
Yurub	欧洲
Aasiya	亚洲
Woqooyiga Ameerika	北美洲
Antiarktis	南极洲
Wikipedia	维基百科
Holland	荷兰
New York	纽约
Washington D.C	华盛顿哥伦比亚特区
Baarliin	柏林
Los Angeles	洛杉矶
Boeing	波音
Kumbuyuutar	電子計算機
Jineefa	日内瓦
Internet	互联网
Barack Obama	贝拉克·奥巴马
Uruguay	乌拉圭
London	伦敦
Qaahiro	开罗
Baariis	巴黎
Android	Android
Google	Google
Meksiko	墨西哥
Badweynta Atlaantik	大西洋
Badweynta Baasifik	太平洋
Kalifornia	加利福尼亚州
Isniin	星期一
Janaayo	1月
Febraayo	2月
Maarso	3月
Farraare	火星
Kiinya	肯尼亚
Itoobiya	埃塞俄比亚
Gaana	加纳
Abriil	4月
May	5月
Juun	6月
Luuliyo	7月
Agoosto	8月
Sebteembar	9月
Oktoobar	10月
Nofeembar	11月
Diseembar	12月
Talaado	星期二
Arbaco	星期三
Khamiis	星期四
Jimco	星期五
Sabti	星期六
Axad	星期日
Libaax	狮
Faransiiska	法国
Esberanto	世界语
Ey	犬
Midowga boqortooyada Britan	英国
Yaanyuur	猫
Shiinaha	中华人民共和国
Af-Faransiis	法语
Malaay	鱼
Khamri	酒
Barasiil	巴西
François Hollande	弗朗索瓦·奥朗德
Ruushka	俄罗斯
Nibiri	鯨目
Labajibaarane	正方形
Bad	海
Bada madaw	黑海
Pi Sumad xisaabeed	圓周率
Wiki	Wiki
Toronto	多伦多
Alabama	亚拉巴马州
São Paulo	聖保羅 (巴西)
São Paulo (Gobol)	圣保罗州
Wikimedia	维基媒体基金会
Jimmy Wales	吉米·威爾斯
Jarmalka	德国
Belarus	白俄罗斯
Af-Jarmal	德语
Island	冰岛
Estoniya	爱沙尼亚
David Cameron	戴维·卡梅伦
Raage	土星
Chocolate	巧克力
