Afrika	非洲
Japani	日本
Amerika Kujalleq	南美洲
Norge	挪威
Irlandi	爱尔兰共和国
Ungarni	匈牙利
Spania	西班牙
Naalagaaffeqatigiit	美国
Belgia	比利时
Luxembourg (nunaat)	卢森堡
Nunarsuaq	地球
Finlandi	芬兰
Svenskit Nunaat	瑞典
Danmarki	丹麦
Poleni	波兰
Litaueni	立陶宛
Italia	意大利
Schweizi	瑞士
Østrigi	奥地利
Grækerit Nunaat	希腊
Tyrkia	土耳其
Portugal	葡萄牙
Europa	欧洲
Asia	亚洲
Amerika Avannarleq	北美洲
Qalasersuaq Kujalleq	南极洲
Wikipedia	维基百科
Hollandi	荷兰
Berlin	柏林
Barack Obama	贝拉克·奥巴马
Uruguay	乌拉圭
London	伦敦
Cairo	开罗
Alexandria	亚历山大港
Paris	巴黎
Mexico	墨西哥
Ataasinngorneq	星期一
Jannuaari	1月
Februaari	2月
Martsi	3月
Kenya	肯尼亚
Apriili	4月
Maaji	5月
Juuni	6月
Juuli	7月
Aggusti	8月
Septemberi	9月
Oktoberi	10月
Novemberi	11月
Decemberi	12月
Marlunngorneq	星期二
Pingasunngorneq	星期三
Sisamanngorneq	星期四
Tallimanngorneq	星期五
Arfininngorneq	星期六
Sapaat	星期日
Franskit Nunaat	法国
Esperanto	世界语
Tuluit Nunaat	英国
Kina	中华人民共和国
Franskisut	法语
Brazil	巴西
Ruslandi	俄罗斯
Toronto	多伦多
São Paulo	聖保羅 (巴西)
Québec	魁北克
Wikimedia	维基媒体基金会
Tyskit Nunaat	德国
Hvideruslandi	白俄罗斯
Tyskisut	德语
Islandi	冰岛
Estlandi	爱沙尼亚
Letlandi	拉脫維亞
Ukraine	乌克兰
Tjekkia	捷克
Slovakia	斯洛伐克
Slovenia	斯洛文尼亚
Vilnius	维尔纽斯
Moldova	摩尔多瓦
Rumænia	羅馬尼亞
Bulgaria	保加利亚
Roma	罗马
Makedonia	馬其頓共和國
Albania	阿尔巴尼亚
Kalaallit Nunaat	格陵兰
Kroatia	克罗地亚
Bosnia-Hercegovina	波斯尼亚和黑塞哥维那
Nuuk	努克
Aserbajdsjan	阿塞拜疆
Andorra	安道尔
Cyperni	賽普勒斯
Georgia	格鲁吉亚
Kasakhstani	哈萨克斯坦
Malta	马耳他
Monaco	摩纳哥
Montenegro	蒙特內哥羅
Vatikani	梵蒂冈
San Marino	圣马力诺
Bruxelles	布鲁塞尔
Indonesia	印度尼西亚
Wolfgang Amadeus Mozart	沃尔夫冈·阿马德乌斯·莫扎特
Tyrkiskisut	土耳其语
Poznań	波茲南
Warszawa	华沙
Eurovision Song Contest	歐洲歌唱大賽
Islandimiusut	冰岛语
Claude Monet	克洛德·莫奈
Diego Velázquez	委拉斯開茲
Chile	智利
El Greco	格雷考
Jiisusi-Kristus	耶稣
Oqaluttuarisaaneq	历史
Oqaatsit	語言
Galaxy	星系
Ulloriarsiorneq	天文學
Singapore	新加坡
Montréal	蒙特利尔
Liechtensteini	列支敦斯登
Timersorneq	体育运动
Szczecin	什切青
Matematikki	数学
Latiinerisut	拉丁语
Bahrain	巴林
Serbia	塞尔维亚
Qaammat	月球
Istanbul	伊斯坦堡
Australia	澳大利亚
Uumaatsulerineq	物理学
Argentina	阿根廷
Peru	秘鲁
Uumassusililerineq	生物学
Korea Avannarleq	朝鲜民主主义人民共和国
Islam	伊斯兰教
Lech Wałęsa	莱赫·瓦文萨
Lyon	里昂
EU	欧洲联盟
Sofia	索菲亞
Mount Everest	珠穆朗瑪峰
Oceania	大洋洲
Wikimedia Commons	维基共享资源
Łódź	罗兹 (波兰)
Oslo	奥斯陆
Katowice	卡托维兹
Dubai	杜拜
Lionel Messi	利昂内尔·梅西
Nipilersorneq	音乐
Rennes	雷恩 (伊勒-维莱讷省)
Lille	里尔
Moskva	莫斯科
Sankt Petersborg	圣彼得堡
New Zealand	新西兰
India	印度
Mongolia	蒙古国
Venezuela	委內瑞拉
Suriname	蘇利南
Paraguay	巴拉圭
Guyana	圭亚那
Eqqumiitsuliorneq	艺术
Ecuador	厄瓜多尔
Colombia	哥伦比亚
Bolivia	玻利維亞
Naasut	植物
Białystok	比亚韦斯托克
Leonardo da Vinci	列奥纳多·达·芬奇
Iran	伊朗
Iraq	伊拉克
Israel	以色列
Yemen	也门
Polenimiutut	波兰语
Jordan	约旦
Kuwait	科威特
Lebanon	黎巴嫩
Amerika	美洲
Nepal	尼泊尔
Oman	阿曼
Pakistan	巴基斯坦
Qatar	卡塔尔
Saudi Arabia	沙特阿拉伯
Syria	叙利亚
Thailandi	泰国
United Arab Emirates	阿拉伯联合酋长国
Vietnam	越南
Novosibirsk	新西伯利亚
Korea Kujalleq	大韩民国
Jekaterinburg	葉卡捷琳堡
Afghanistan	阿富汗
Nizjnij Novgorod	下诺夫哥罗德
Samara	薩馬拉
Kuulti	金
Omsk	鄂木斯克
Kazan	喀山
Bangladesh	孟加拉国
Tjeljabinsk	車里雅賓斯克
Rostov ved Don	顿河畔罗斯托夫
Ufa	烏法
Volgograd	伏尔加格勒
Perm	彼尔姆
Tanzania	坦桑尼亚
Philippines	菲律宾
Isaac Newton	艾萨克·牛顿
Beijing	北京市
New Delhi	新德里
Tbilisi	第比利斯
Libya	利比亚
Madagascar	马达加斯加
Uganda	乌干达
FN	联合国
Nunarsualerineq	地质学
Ahmedabad	艾哈迈达巴德
Nunalerineq	地理学
Praha	布拉格
Mumbai	孟买
Jerusalem	耶路撒冷
Kosovo	科索沃
Grenoble	格勒诺布尔
Chicago	芝加哥
Spanskisut	西班牙语
Montevideo	蒙得维的亚
Kolkata	加尔各答
Chennai	金奈
Delhi	德里
Dhaka	达卡
